query,group,time,value
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-11-25T00:00:00.000Z,3490.449951171875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-11-26T00:00:00.000Z,3034.960205078125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-11-27T00:00:00.000Z,3112.169921875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-11-28T00:00:00.000Z,4259.79052734375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-11-29T00:00:00.000Z,4252.36962890625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-11-30T00:00:00.000Z,4217.15283203125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-01T00:00:00.000Z,4155.74169921875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-02T00:00:00.000Z,3961.529541015625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-03T00:00:00.000Z,3149.28173828125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-04T00:00:00.000Z,3151.00146484375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-05T00:00:00.000Z,4135.6328125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-06T00:00:00.000Z,4159.44775390625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-07T00:00:00.000Z,4183.88623046875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-08T00:00:00.000Z,4150.08154296875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-09T00:00:00.000Z,3977.876953125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-10T00:00:00.000Z,3158.7958984375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-11T00:00:00.000Z,3214.709228515625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-12T00:00:00.000Z,4148.9716796875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-13T00:00:00.000Z,4186.5859375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-14T00:00:00.000Z,4155.2294921875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-15T00:00:00.000Z,4131.91845703125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-16T00:00:00.000Z,4016.927490234375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-17T00:00:00.000Z,3184.713134765625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-18T00:00:00.000Z,3137.5498046875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-19T00:00:00.000Z,4108.240234375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-20T00:00:00.000Z,4124.841796875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-21T00:00:00.000Z,4009.661376953125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-22T00:00:00.000Z,3770.65576171875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-23T00:00:00.000Z,3439.70556640625
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-24T00:00:00.000Z,2803.68505859375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-25T00:00:00.000Z,2670.882080078125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-26T00:00:00.000Z,2936.24560546875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-27T00:00:00.000Z,3559.9052734375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-28T00:00:00.000Z,3650.00439453125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-29T00:00:00.000Z,3612.912109375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-30T00:00:00.000Z,3454.49365234375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2022-12-31T00:00:00.000Z,2942.349609375
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-01T00:00:00.000Z,2976.251953125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-02T00:00:00.000Z,3598.73876953125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-03T00:00:00.000Z,4089.310546875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-04T00:00:00.000Z,4241.1611328125
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-05T00:00:00.000Z,4246.0029296875
"sum:bifrost.request.time.count{bifrost.network:10250 !bifrost.network:4161 environment:production}.as_rate()",bifrost.status:ok,2023-01-06T00:00:00.000Z,4104.439453125
